                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8802,                 3.9506,                 1.9353,                0.00297,                0.36855,                0.06087,                0.03063,                    nan,                    nan,                    nan,                 0.0838,                 0.0018,                 0.0018
                      2,                 1.5854,                  3.702,                 1.7065,                0.00105,                0.16766,                0.01598,                0.00633,                    nan,                    nan,                    nan,               0.066693,              0.0036927,              0.0036927
                      3,                 1.5146,                  3.428,                 1.6767,                0.00289,                0.35218,                0.03113,                0.02049,                    nan,                    nan,                    nan,               0.049578,              0.0055778,              0.0055778
                      4,                   1.52,                 3.1436,                  1.667,                0.17928,                0.07878,                0.07776,                0.04436,                    nan,                    nan,                    nan,               0.032455,              0.0074554,              0.0074554
                      5,                 1.5734,                 3.1064,                 1.6556,                 0.0035,                 0.3621,                0.03116,                0.01012,                    nan,                    nan,                    nan,               0.015326,              0.0093256,              0.0093256
                      6,                 1.5967,                  3.118,                 1.6669,                 0.8905,                0.03125,                0.04254,                 0.0142,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      7,                 1.6617,                 3.1079,                 1.7535,                 0.4851,                 0.0625,                0.07903,                0.03277,                    nan,                    nan,                    nan,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.706,                 3.0327,                 1.7817,                 0.0019,                 0.3249,                0.00216,                0.00076,                    nan,                    nan,                    nan,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7124,                 3.0169,                 1.7742,                0.05905,                0.06796,                 0.0372,                0.01611,                    nan,                    nan,                    nan,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7193,                 2.9759,                 1.7504,                0.08468,                0.12103,                0.05083,                0.02182,                    nan,                    nan,                    nan,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6727,                 2.8092,                  1.692,                   0.14,                0.15774,                0.08215,                0.03859,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                     12,                  1.682,                 2.7692,                 1.6895,                0.05302,                0.15228,                0.04523,                0.01751,                    nan,                    nan,                    nan,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6392,                 2.7309,                 1.6963,                0.25535,                0.10732,                0.13302,                 0.0609,                    nan,                    nan,                    nan,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.636,                 2.6301,                 1.6815,                0.17128,                0.13641,                0.09764,                0.04853,                    nan,                    nan,                    nan,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5684,                 2.5458,                 1.6292,                0.12526,                0.14087,                0.11945,                0.04859,                    nan,                    nan,                    nan,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6089,                 2.5084,                 1.6628,                0.22183,                0.19596,                0.14397,                0.05414,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     17,                 1.5341,                 2.4165,                 1.6404,                 0.0794,                 0.0625,                0.04756,                0.02383,                    nan,                    nan,                    nan,              0.0096832,              0.0096832,              0.0096832
                     18,                  1.547,                 2.4463,                 1.6378,                0.12356,                0.12604,                0.06999,                0.03395,                    nan,                    nan,                    nan,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6058,                 2.3897,                 1.6622,                0.16948,                0.15927,                0.11407,                0.04157,                    nan,                    nan,                    nan,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.5249,                 2.3424,                 1.6001,                0.22145,                0.21285,                0.11591,                 0.0406,                    nan,                    nan,                    nan,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.5288,                 2.2583,                 1.6144,                0.29953,                0.19739,                0.16306,                0.07725,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     22,                 1.5228,                 2.2774,                 1.6183,                0.09672,                0.12688,                0.08353,                0.03831,                    nan,                    nan,                    nan,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.4934,                 2.1554,                 1.5772,                0.43818,                0.20437,                0.20961,                0.09504,                    nan,                    nan,                    nan,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.4451,                 2.1037,                 1.5441,                0.06526,                0.05754,                0.02873,                0.01079,                    nan,                    nan,                    nan,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.4922,                 2.0397,                 1.5828,                 0.2537,                0.25198,                0.14845,                0.07401,                    nan,                    nan,                    nan,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.4629,                 2.0346,                 1.5507,                0.21816,                0.24603,                0.20511,                0.09888,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     27,                 1.4768,                 2.0181,                 1.5339,                0.17181,                0.29365,                0.12692,                0.05241,                    nan,                    nan,                    nan,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.3702,                 1.9421,                 1.4727,                0.22054,                0.14187,                0.12972,                0.06961,                    nan,                    nan,                    nan,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.3964,                 1.9011,                 1.5034,                0.24554,                0.12599,                0.13588,                0.07595,                    nan,                    nan,                    nan,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.3898,                 1.9294,                 1.4772,                0.32161,                 0.2343,                 0.2059,                0.10077,                    nan,                    nan,                    nan,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.3847,                 1.8739,                 1.5092,                0.44808,                0.13095,                0.17224,                0.08734,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     32,                 1.3643,                 1.8009,                 1.4831,                0.31369,                0.25198,                0.24564,                0.09853,                    nan,                    nan,                    nan,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.3786,                 1.8378,                  1.479,                0.38069,                0.23596,                0.17973,                0.09871,                    nan,                    nan,                    nan,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.3541,                 1.7034,                 1.4558,                0.24962,                0.21528,                0.13889,                0.07475,                    nan,                    nan,                    nan,              0.0093466,              0.0093466,              0.0093466
